b,a
0.22998253237590108,1.0
1.1102230246251565e-16,-1.2556750564259178
-2.529807856134912,-7.316741788880618
0.0,8.668828980903612
12.649039280674561,25.306703359944223
0.0,-27.57526726510698
-37.94711784202367,-54.389126057763534
-2.842170943040401e-14,53.036096204162575
75.89423568404737,80.39879946739987
4.263256414560601e-14,-68.11933174209872
-106.25192995766638,-85.51390402788381
0.0,60.921305669155785
106.25192995766638,66.54255530693445
-4.973799150320701e-14,-38.353853805910724
-75.89423568404737,-37.75510256168448
2.1316282072803006e-14,16.759722348822077
37.94711784202367,15.259914985570521
3.552713678800501e-15,-4.858882752618159
-12.649039280674561,-4.173006158520771
-1.6653345369377348e-16,0.8430414430797752
2.5298078561349118,0.6932305710042211
-1.1102230246251565e-16,-0.06641512138451787
-0.22998253237590108,-0.052891965198032215